"β"	"beta"
"醒ます"	"awaken"
"醒ます"	"sober" "up"
"醜" "怪"	"bizarre"
"醜" "怪"	"ugly"
"醜い"	"ugly"
"醜い"	"unattractive"
"醜態"	"shameful" "sight"
"醜男"	"ugly" "man"
"醜聞"	"scandal"
"醸し出す"	"bring" "about"
"醸し出す"	"engender"
"醸成"	"breed"
"醸成"	"brew"
"醸造" "家"	"brewer"
"醸造" "所"	"brewery"
"醸造" "酒"	"liquor"
"釈放"	"liberation"
"釈放"	"release"
"釈明"	"explanation"
"釈迦"	"the" "Buddha"
"釈迦" "頭"	"sugar" "apple"
"里"	"country"
"里"	"countryside"
"里"	"hamlet"
"里"	"home"
"里"	"hometown"
"里"	"neighbourhood"
"里"	"ones" "past"
"里"	"ri"
"里"	"village"
"里" "世"	"rise"
"里心"	"nostalgia"
"里芋"	"taro"
"里親"	"foster" "parent"
"重"	"chief"
"重"	"greater" "degree"
"重"	"heavy"
"重"	"important"
"重"	"main"
"重"	"principal"
"重"	"serious"
"重" "合体"	"polymer"
"重" "回帰"	"multiple" "regression"
"重" "変"	"double" "flat"
"重" "愛"	"endearment"
"重" "戦車"	"heavy" "tank"
"重" "星"	"multiple" "star"
"重" "灰"	"dense" "ash"
"重" "犯罪"	"serious" "crime"
"重" "盗"	"double" "steal"
"重" "目"	"little" "heavy"
"重" "積"	"piling" "up"
"重" "篤"	"serious"
"重" "謹慎"	"close" "confinement"
"重" "過ぎる"	"too" "heavy"
"重" "酸素"	"heavy" "oxygen"
"重" "電"	"heavy" "electric"
"重" "電気"	"heavy" "electric"
"重" "馬場"	"heavy" "going"
"重々"	"manifold"
"重々" "に"	"extremely"
"重々しい"	"dignified"
"重々しい"	"grave"
"重々しい"	"serious"
"重々しい"	"solemn"
"重い"	"heavy"
"重い"	"important"
"重い"	"massive"
"重い"	"serious"
"重い"	"severe"
"重い" "任務"	"important" "task"
"重い" "故障"	"hard" "failure"
"重い" "罪"	"serious" "crime"
"重き"	"emphasis"
"重き"	"importance"
"重き"	"stress"
"重さ"	"weight"
"重し"	"stone" "weight"
"重し"	"weight"
"重たい"	"heavy"
"重たい"	"important"
"重たい"	"massive"
"重たい"	"serious"
"重たい"	"severe"
"重たげ"	"heavy"
"重なり"	"piling"
"重なり合う"	"overlap"
"重なり合う"	"pile" "up"
"重なる"	"important"
"重なる"	"main"
"重なる"	"piled up"
"重なる"	"principal"
"重ね"	"course"
"重ね"	"heap"
"重ね"	"pile"
"重ね"	"set"
"重ね" "かける"	"lap"
"重ね" "かける"	"overlap"
"重ね" "掛ける"	"lap"
"重ね" "掛ける"	"overlap"
"重ね" "書き"	"overwrite"
"重ね" "言葉"	"redundancy"
"重ねて"	"once more"
"重ねて"	"once" "more"
"重ねて"	"repeatedly"
"重ねる"	"add"
"重ねる"	"heap" "up"
"重ねる"	"pile" "up"
"重ねる"	"repeat"
"重ね重ね"	"exceedingly"
"重ね重ね"	"frequently"
"重ね重ね"	"sincerely"
"重み"	"dignity"
"重み"	"emphasis"
"重み"	"importance"
"重み"	"weight"
"重り"	"sinker"
"重り"	"weight"
"重んじる"	"esteem"
"重んじる"	"honor"
"重んじる"	"honour"
"重んじる"	"prize"
"重んじる"	"respect"
"重体"	"critical" "state"
"重体"	"serious" "condition"
"重体"	"seriously" "ill"
"重力"	"gravity"
"重力" "ダム"	"gravity" "dam"
"重力" "レンズ"	"gravitational" "lens"
"重力" "場"	"gravitational" "field"
"重力" "崩壊"	"gravitational" "collapse"
"重力" "質量"	"gravitational" "mass"
"重労働"	"hard" "labor"
"重労働"	"hard" "labour"
"重労働"	"heavy" "labor"
"重労働"	"heavy" "labour"
"重厚"	"thickness"
"重厚" "長大"	"heavy"
"重圧"	"pressure"
"重大"	"grave"
"重大"	"important"
"重大"	"serious"
"重大"	"significant"
"重大"	"weighty"
"重大" "問題"	"serious" "question"
"重大" "性"	"importance"
"重大" "性"	"seriousness"
"重大" "犯罪"	"serious" "crime"
"重大" "視"	"taking" "seriously"
"重宝"	"convenience"
"重宝"	"priceless" "treasure"
"重宝"	"usefulness"
"重宝" "がる"	"find" "useful"
"重工業"	"heavy" "industry"
"重役"	"director"
"重役"	"high" "executive"
"重役" "会議"	"executive" "meeting"
"重心"	"balance"
"重態"	"critical" "state"
"重態"	"serious" "condition"
"重態"	"seriously" "ill"
"重手" "代"	"head" "steward"
"重文"	"compound" "sentence"
"重機"	"heavy" "equipment"
"重機"	"heavy" "machinery"
"重油"	"fuel" "oil"
"重油"	"heavy" "oil"
"重点"	"colon"
"重点"	"emphasis"
"重点"	"important" "point"
"重点" "主義"	"priority" "system"
"重点的" "に"	"mainly"
"重版"	"second" "edition"
"重病"	"serious" "illness"
"重症"	"serious" "illness"
"重症" "度"	"severity"
"重税"	"heavy" "taxation"
"重罪"	"serious" "crime"
"重罰"	"heavy" "punishment"
"重苦しい"	"awkward"
"重苦しい"	"gloomy"
"重苦しい"	"heavy"
"重苦しい"	"oppressive"
"重荷"	"heavy" "burden"
"重荷"	"heavy" "freight"
"重荷"	"heavy" "responsibility"
"重荷"	"load"
"重複"	"redundancy"
"重複"	"repetition"
"重複"	"restoration"
"重複" "保険"	"double" "insurance"
"重複" "母音"	"geminate" "vowel"
"重要"	"essential"
"重要"	"important"
"重要"	"major"
"重要"	"principal"
"重要" "事項"	"important" "matter"
"重要" "人物"	"important" "person"
"重要" "人物"	"key" "figure"
"重要" "人物"	"strategic" "person"
"重要" "度"	"priority"
"重要" "性"	"gravity"
"重要" "性"	"importance"
"重要" "産業"	"key" "industry"
"重要視"	"regarding" "highly"
"重視"	"importance"
"重視"	"serious" "consideration"
"重視"	"stress"
"重責"	"heavy" "responsibility"
"重量"	"weight"
"重量" "制限"	"weight" "limit"
"重量" "制限"	"weight" "restriction"
"野"	"field"
"野"	"plain"
"野"	"wild"
"野" "ぶどう"	"wild" "grape"
"野" "バラ"	"wild" "rose"
"野" "世"	"nose"
"野" "勢"	"nose"
"野" "猫"	"stray" "cat"
"野" "盗"	"bandit"
"野" "苺"	"wild" "strawberry"
"野" "葡萄"	"wild" "grape"
"野" "音"	"noon"
"野" "馬"	"wild" "horse"
"野" "鴨"	"wild" "duck"
"野" "鶏"	"fowl"
"野ウサギ"	"Japanese" "hare"
"野ウサギ"	"wild" "rabbit"
"野党"	"opposition"
"野党"	"opposition" "party"
"野党"	"political" "opposition"
"野党" "党首"	"opposition" "leader"
"野党" "連合"	"opposition" "alliance"
"野原"	"field"
"野外"	"fields"
"野外"	"open air"
"野外"	"open" "air"
"野外" "撮影"	"outdoor" "photography"
"野太い"	"audacious"
"野心"	"ambition"
"野心"	"aspiration"
"野心" "家"	"ambitious" "person"
"野心" "満々"	"highly" "ambitious"
"野心" "的"	"ambitious"
"野心" "的"	"treacherous"
"野性"	"rough"
"野性"	"uncouth"
"野性"	"unpolished"
"野性"	"wildness"
"野性的"	"rough"
"野性的"	"uncouth"
"野性的"	"unpolished"
"野性的"	"wild"
"野戦"	"field"
"野戦" "病院"	"field" "hospital"
"野戦" "砲兵"	"field" "artillery"
"野手"	"a" "fielder"
"野暮" "用"	"minor" "business"
"野暮ったい"	"uncouth"
"野暮ったい"	"unfashionable"
"野暮ったい"	"unpolished"
"野望"	"ambition"
"野望"	"aspiration"
"野次る"	"hoot"
"野牛"	"buffalo"
"野犬"	"stray" "dog"
"野獣"	"beast"
"野獣"	"monster"
"野獣"	"wild" "animal"
"野球"	"baseball"
"野球" "チーム"	"baseball" "team"
"野球" "人"	"baseball" "player"
"野球" "場"	"baseball" "ground"
"野球" "場"	"baseball" "stadium"
"野球" "帽"	"baseball" "cap"
"野球" "熱"	"baseball" "fever"
"野球" "選手"	"baseball" "player"
"野球" "部"	"baseball" "club"
"野生"	"I"
"野生"	"wild"
"野生" "動物"	"wild" "animal"
"野生" "犬"	"wild" "dog"
"野生" "生物"	"wildlife"
"野良"	"Nora"
"野良"	"agricultural"
"野良"	"farm"
"野良"	"field"
"野良"	"rural"
"野良" "仕事"	"farm" "work"
"野良" "仕事"	"field" "labor"
"野良" "仕事"	"field" "labour"
"野良犬"	"stray" "dog"
"野良猫"	"alley" "cat"
"野良猫"	"stray" "cat"
"野草"	"field" "grass"
"野菊"	"wild" "chrysanthemum"
"野菜"	"vegetable"
"野菜" "汁"	"vegetable" "soup"
"野菜" "畑"	"kitchen" "garden"
"野菜" "畑"	"vegetable" "garden"
"野蛮"	"savage"
"野蛮人"	"savage"
"野辺"	"field"
"野辺" "送り"	"burial"
"野郎"	"rascal"
"野鳥"	"wild" "bird"
"量"	"amount"
"量"	"portion"
"量"	"quantity"
"量"	"volume"
"量" "記号"	"quantifier"
"量" "集合"	"quantity" "set"
"量る"	"conjecture"
"量る"	"infer"
"量る"	"measure"
"量る"	"survey"
"量る"	"time"
"量る"	"weigh"
"量子"	"quantum"
"量子" "エレクトロニクス"	"quantum" "electronics"
"量子" "コンピュータ"	"quantum" "computer"
"量子" "ビット"	"quantum" "bit"
"量子" "仮説"	"quantum" "hypothesis"
"量子" "化学"	"quantum" "chemistry"
"量子" "数"	"quantum" "number"
"量子" "論"	"quantum" "theory"
"量産"	"mass" "production"
"量的"	"substantively"
"量販" "店"	"volume" "seller"
"金"	"Friday"
"金"	"Jun"
"金"	"Kim"
"金"	"gold"
"金"	"gold" "general"
"金"	"golden"
"金"	"metal"
"金"	"money"
"金" "ペン"	"gold" "pen"
"金" "ボタン"	"brass" "button"
"金" "ボタン"	"golden" "button"
"金" "印"	"golden" "stamp"
"金" "味"	"metallic"
"金" "器"	"gold" "plate"
"金" "型"	"die"
"金" "型"	"metal" "pattern"
"金" "型"	"mold"
"金" "婚"	"golden" "wedding"
"金" "市場"	"gold" "market"
"金" "床"	"anvil"
"金" "時計"	"gold" "watch"
"金" "準備"	"gold" "reserve"
"金" "烏"	"sun"
"金" "蒔絵"	"gold" "lacquer"
"金" "詰まり"	"financial" "distress"
"金" "詰まり"	"money" "shortage"
"金" "運"	"economic" "fortune"
"金" "錆"	"rust"
"金" "鍍金"	"gild"
"金" "鍍金"	"plate"
"金" "鎖"	"golden" "chain"
"金" "食い"	"expensive"
"金" "食い"	"extravagant"
"金" "鯱"	"golden" "dolphin"
"金づち"	"hammer"
"金づち"	"hopeless" "swimmer"
"金メダル"	"gold" "medal"
"金メッキ"	"gild"
"金メッキ"	"plate"
"金切り声"	"scream"
"金切り声"	"shriek"
"金切り声"	"shrill" "voice"
"金利" "鞘"	"interest" "margin"
"金券"	"gold" "certificate"
"金剛"	"diamond"
"金剛" "界"	"diamond" "realm"
"金塊"	"gold" "bar"
"金婚式"	"golden" "wedding"
"金子"	"money"
"金属"	"metal"
"金属" "元素"	"metallic" "element"
"金属" "疲労"	"metal" "fatigue"
"金属" "結合"	"metallic" "bond"
"金属性"	"metallic" "quality"
"金属音"	"metallic" "sound"
"金山"	"mine"
"金庫"	"safe"
"金庫"	"treasury"
"金庫"	"vault"
"金持ち"	"rich" "man"
"金星"	"Venus"
"金曜"	"Friday"
"金曜日"	"Friday"
"金本位"	"gold" "standard"
"金棒"	"metal" "rod"
"金槌"	"hammer"
"金槌"	"hopeless" "swimmer"
"金権"	"financial" "influence"
"金欠" "病"	"poverty"
"金歯"	"gold" "tooth"
"金物"	"hardware"
"金物"	"metal" "utensil"
"金玉"	"precious" "object"
"金目"	"monetary" "value"
"金科玉条"	"golden" "rule"
"金箔"	"gold" "leaf"
"金管"	"brass" "instrument"
"金粉"	"gold" "dust"
"金糸"	"gold" "thread"
"金網"	"wire" "mesh"
"金網"	"wire" "screen"
"金色"	"golden"
"金融" "サービス"	"financial" "service"
"金融" "システム"	"financial" "system"
"金融" "リスク"	"financial" "risk"
"金融" "不安"	"financial" "panic"
"金融" "危機"	"financial" "crisis"
"金融" "崩壊"	"financial" "collapse"
"金融" "工学"	"financial" "engineering"
"金融" "市場"	"financial" "market"
"金融" "市場"	"money market"
"金融" "市場"	"money" "market"
"金融" "引き締め"	"credit" "crunch"
"金融" "引き締め"	"credit" "squeeze"
"金融" "改革"	"financial" "reform"
"金融" "政策"	"monetary" "policy"
"金融" "業"	"finance" "business"
"金融" "犯罪"	"financial" "crime"
"金融" "街"	"wall" "street"
"金融" "詐欺"	"financial" "fraud"
"金融" "資本"	"financial" "capital"
"金融" "資産"	"financial" "asset"
"金融" "関係"	"financial"
"金融公庫"	"finance" "corporation"
"金貨"	"gold" "coin"
"金貨" "準備"	"gold" "reserve"
"金輪際"	"never"
"金鉄"	"firmness"
"金銭"	"cash"
"金銭"	"money"
"金銭" "債権"	"monetary" "claim"
"金銭" "問題"	"money" "matter"
"金銭" "問題"	"money" "trouble"
"金銭" "感覚"	"money" "sense"
"金髪"	"blond" "hair"
"金魚"	"goldfish"
"金魚" "売り"	"goldfish" "peddler"
"金魚" "屋"	"goldfish" "seller"
"金魚鉢"	"goldfish" "bowl"
"釘"	"nail"
"釜"	"iron" "pot"
"釜"	"kettle"
"釜" "式"	"kettle" "rest"
"針"	"hand"
"針"	"hook"
"針"	"malice"
"針"	"needle"
"針"	"needlework"
"針"	"pin"
"針"	"pointer"
"針"	"staple"
"針"	"thorn"
"針" "イカ"	"golden" "cuttlefish"
"針" "桑"	"silkworm" "thorn"
"針仕事"	"needlework"
"針葉樹" "林"	"coniferous" "forest"
"針路"	"compass" "bearing"
"針路"	"course"
"針路"	"direction"
"針金"	"wire"
"針金" "虫"	"hair" "worm"
"釣"	"angling"
"釣"	"change"
"釣" "戸棚"	"hanging" "cupboard"
"釣" "戸棚"	"wall" "cabinet"
"釣" "虻"	"bee" "fly"
"釣" "鉤"	"fish" "hook"
"釣" "革"	"strap"
"釣られる"	"attracted"
"釣り"	"angling"
"釣り"	"change"
"釣り" "下がる"	"dangle"
"釣り" "下がる"	"hang" "down"
"釣り" "下げる"	"suspend" "from"
"釣り" "具"	"tackle"
"釣り" "師"	"angler"
"釣り" "戸棚"	"hanging" "cupboard"
"釣り" "戸棚"	"wall" "cabinet"
"釣り" "鉤"	"fish" "hook"
"釣り" "革"	"strap"
"釣り上げる"	"hang" "up"
"釣り上げる"	"lift"
"釣り上げる"	"pull" "in"
"釣り上げる"	"raise"
"釣り上げる"	"suspend"
"釣り人"	"angler"
"釣り合い"	"balance"
"釣り合い"	"equilibrium"
"釣り合う"	"balance"
"釣り合う"	"counterbalance"
"釣り合う"	"in" "harmony"
"釣り合う"	"reach" "equilibrium"
"釣り合う"	"suit"
"釣り針"	"fish" "hook"
"釣り銭"	"change"
"釣る"	"fish"
"釣堀"	"fish" "pond"
"釣果"	"a" "catch"
"釣瓶"	"well" "bucket"
"釣針"	"fish" "hook"
"釣鐘"	"hanging" "bell"
"釦"	"button"
"鈍"	"Don"
"鈍"	"blunt"
"鈍"	"dull"
"鈍"	"slow"
"鈍"	"stupid"
"鈍" "甲"	"dark" "sleeper"
"鈍" "間"	"gullible"
"鈍" "黄色"	"dull" "yellow"
"鈍い"	"dull"
"鈍い"	"late"
"鈍い"	"slow"
"鈍い"	"stupid"
"鈍い"	"too" "late"
"鈍い" "音"	"thick" "sound"
"鈍る"	"become" "blunt"
"鈍る"	"grow" "dull"
"鈍る"	"weaken"
"鈍痛"	"dull" "pain"
"鈍臭い"	"irritating"
"鈍臭い"	"slow"
"鈍臭い"	"stupid"
"鈍行"	"ordinary" "train"
"鈍行"	"slow" "train"
"鈴"	"bell"
"鈴" "瀬"	"rinse"
"鈴" "菜"	"turnip"
"鈴" "音"	"rein"
"鈴" "音"	"reine"
"鈴虫"	"bell" "cricket"
"鉄"	"iron"
"鉄" "剣"	"iron" "sword"
"鉄" "味"	"metallic"
"鉄" "屑"	"scrap" "iron"
"鉄" "帽"	"helmet"
"鉄" "甲"	"iron" "armor"
"鉄" "甲"	"iron" "helmet"
"鉄" "砲弾"	"bullet"
"鉄" "砲弾"	"lost" "messenger"
"鉄" "窓"	"jail"
"鉄" "粉"	"iron" "powder"
"鉄" "聾"	"completely" "deaf"
"鉄" "葉"	"tin" "plate"
"鉄人"	"strong" "man"
"鉄分"	"iron"
"鉄器" "時代"	"iron" "age"
"鉄塔"	"steel" "tower"
"鉄拳"	"fist"
"鉄材"	"iron" "material"
"鉄板"	"iron" "plate"
"鉄板"	"sure" "thing"
"鉄格子"	"prison"
"鉄棒"	"crowbar"
"鉄棒"	"horizontal" "bar"
"鉄棒"	"iron" "rod"
"鉄橋"	"iron" "bridge"
"鉄橋"	"railway" "bridge"
"鉄砲"	"gun"
"鉄砲" "魚"	"archerfish"
"鉄砲玉"	"bullet"
"鉄砲玉"	"lost" "messenger"
"鉄線"	"iron" "wire"
"鉄線"	"leather" "flower"
"鉄腕"	"strong" "arm"
"鉄道"	"railroad"
"鉄道" "事故"	"railroad" "accident"
"鉄道" "会社"	"railroad" "corporation"
"鉄道" "会社"	"railway" "company"
"鉄道" "便"	"rail" "transport"
"鉄道" "線路"	"rail" "line"
"鉄道" "線路"	"railroad" "track"
"鉄道" "輸送"	"rail" "transport"
"鉄道" "駅"	"rail" "station"
"鉄道" "駅"	"train" "station"
"鉄鉱"	"iron" "ore"
"鉄鉱" "石"	"iron" "ore"
"鉄鋼" "メーカー"	"steel" "maker"
"鉄鋼" "メーカー"	"steel" "manufacturer"
"鉄骨"	"steel" "frame"
"鉄骨" "造"	"steel" "construction"
"鉈" "豆"	"sword" "bean"
"鉋"	"plane"
"鉛"	"lead"
"鉛" "ガラス"	"lead" "glass"
"鉛" "板"	"lead" "plate"
"鉛" "白"	"white" "lead"
"鉛" "色"	"lead" "color"
"鉛" "色"	"lead" "colour"
"鉛直"	"perpendicular"
"鉛直"	"upright"
"鉛直"	"vertical"
"鉛直" "面"	"vertical" "plane"
"鉛筆"	"pencil"
"鉛筆" "画"	"sketch"
"鉢"	"basin"
"鉢"	"bowl"
"鉢"	"crown"
"鉢"	"pot"
"鉢合わせ"	"encounter"
"鉤"	"hook"
"鉤" "爪"	"claw"
"鉤" "爪"	"talon"
"鉤" "素"	"leader"
"鉤" "虫"	"velvet" "worm"
"鉤" "裂き"	"rip"
"鉤" "裂き"	"tear"
"鉤" "針"	"hook"
"鉦"	"gong"
"鉱"	"ore"
"鉱" "員"	"miner"
"鉱" "坑"	"mine"
"鉱" "坑"	"pit"
"鉱" "坑"	"shaft"
"鉱" "柱"	"pillar"
"鉱" "柱"	"rib"
"鉱" "物質"	"mineral" "matter"
"鉱" "質"	"mineral"
"鉱山"	"mine"
"鉱毒"	"mine" "pollution"
"鉱物"	"mineral"
"鉱物" "油"	"mineral" "oil"
"鉱産" "物"	"mineral" "product"
"鉱石"	"crystal"
"鉱石"	"mineral"
"鉱石"	"ore"
"鉾"	"arms"
"鉾"	"lance"
"鉾"	"pike"
"鉾"	"weapon"
"銀"	"silver"
"銀"	"silver" "coin"
"銀"	"silver" "general"
"銀"	"silver" "paint"
"銀" "モール"	"silver" "lace"
"銀" "塩"	"silver" "salt"
"銀" "木犀"	"fragrant" "olive"
"銀" "木犀"	"sweet" "olive"
"銀" "木犀"	"tea" "olive"
"銀" "目"	"silver" "eye"
"銀" "眼"	"silver" "eye"
"銀" "細工"	"silverwork"
"銀" "鈴"	"silver" "bell"
"銀" "鮭"	"silver" "salmon"
"銀メダル"	"silver" "medal"
"銀座"	"silver" "mint"
"銀杏"	"ginkgo" "tree"
"銀杯"	"silver" "cup"
"銀河"	"galaxy"
"銀河系"	"galaxy"
"銀紙"	"silver" "paper"
"銀色"	"silver"
"銀行"	"bank"
"銀行" "システム"	"banking" "system"
"銀行" "券"	"bank" "note"
"銀行" "口座"	"bank" "account"
"銀行" "家"	"banker"
"銀行" "改革"	"banking" "reform"
"銀行" "業"	"banking"
"銀行" "業務"	"banking" "services"
"銀行" "界"	"banking" "world"
"銀行" "監督"	"bank" "supervision"
"銀行" "融資"	"bank" "loan"
"銀行" "貸出"	"bank" "lending"
"銀行" "預金"	"bank" "deposit"
"銀行員"	"bank" "employee"
"銀行員"	"banker"
"銀貨"	"silver" "coin"
"銀賞"	"silver" "prize"
"銀髪"	"gray" "hair"
"銀髪"	"grey" "hair"
"銀髪"	"silver" "hair"
"銃"	"gun"
"銃"	"rifle"
"銃"	"small" "arms"
"銃" "架"	"arms" "rack"
"銃" "架"	"rifle" "stand"
"銃" "規制"	"gun" "control"
"銃" "連射"	"rapid" "fire"
"銃口"	"gun" "point"
"銃器"	"small" "arms"
"銃声"	"report"
"銃弾"	"bullet"
"銃弾" "跡"	"bullet" "hole"
"銃撃"	"shooting"
"銃撃" "戦"	"gun" "battle"
"銃火"	"gunfire"
"銃猟"	"shooting"
"銅"	"copper"
"銅" "線"	"copper" "line"
"銅" "線"	"copper" "wire"
"銅" "鉾"	"bronze" "spearhead"
"銅" "鍋"	"copper" "pot"
"銅" "鍋"	"copper" "saucepan"
"銅メダル"	"bronze" "medal"
"銅像"	"bronze" "statue"
"銅剣"	"bronze" "sword"
"銅山"	"copper" "mine"
"銅板"	"sheet" "copper"
"銅貨"	"copper" "coin"
"銘々"	"each"
"銘々"	"individual"
"銘じる"	"engrave"
"銘じる"	"inscribe"
"銘じる"	"stamp"
"銘打つ"	"call" "itself"
"銘打つ"	"label"
"銘打つ"	"mark"
"銘柄"	"brand"
"銘柄"	"description"
"銘柄"	"make"
"銘菓"	"excellent" "cake"
"銘記"	"remember"
"銘酒"	"choice" "sake"
"銭"	"Zen"
"銭"	"money"
"銭" "箱"	"cash" "box"
"銭" "金"	"money"
"銭湯"	"public" "bath"
"鋤"	"plough"
"鋤"	"plow"
"鋤"	"spade"
"鋤" "柄"	"shoe"
"鋤" "返す"	"plough"
"鋤" "返す"	"plow"
"鋭い"	"sharp"
"鋭い" "ナイフ"	"sharp" "knife"
"鋭い" "批判"	"sharp" "criticism"
"鋭利"	"sharpness"
"鋭敏"	"sharpness"
"鋭敏" "性"	"sensitivity"
"鋭角"	"acute" "angle"
"鋭角" "三角形"	"acute" "triangle"
"鋳型"	"mold"
"鋳型"	"mould"
"鋳型"	"template"
"鋳物"	"cast" "metal"
"鋳物"	"casting"
"鋳造"	"casting"
"鋳造" "所"	"a" "foundry"
"鋳造" "所"	"a" "mint"
"鋸"	"saw"
"鋸歯"	"serration"
"鋼"	"steel"
"鋼" "線"	"steel" "wire"
"鋼" "色"	"steel" "blue"
"鋼材"	"steel" "material"
"鋼板"	"steel" "plate"
"鋼板"	"steel" "sheet"
"鋼管"	"steel" "pipe"
"鋼鉄"	"steel"
"鋼鉄" "板"	"steel" "plate"
"錆"	"rust"
"錆びる"	"become" "rusty"
"錆びる"	"rust"
"錆付く"	"rust" "together"
"錐"	"auger"
"錐"	"drill"
"錠"	"lock"
"錠"	"pill"
"錠"	"tablet"
"錠前"	"lock"
"錠剤"	"pill"
"錠剤"	"tablet"
"錦" "花鳥"	"zebra" "finch"
"錫"	"tin"
"錫" "ペスト"	"tin" "pest"
"錬磨"	"cultivation"
"錬磨"	"practice"
"錬磨"	"practise"
"錯乱"	"confusion"
"錯乱"	"distraction"
"錯綜"	"complication"
"錯覚"	"optical" "illusion"
"錯誤"	"mistake"
"録"	"record"
"録"	"transcript"
"録る"	"record"
"録画"	"recording"
"録音"	"recording"
"録音" "テープ"	"audio" "tape"
"録音" "テープ"	"magnetic" "tape"
"録音" "機"	"tape" "recorder"
"鍋"	"pot"
"鍋"	"saucepan"
"鍋" "つかみ"	"oven" "glove"
"鍋" "掴み"	"oven" "glove"
"鍋" "蓋"	"pan" "lid"
"鍋" "蓋"	"pot" "lid"
"鍋物"	"stew"
"鍍金"	"pretence"
"鍍金"	"pretense"
"鍛える"	"discipline"
"鍛える"	"drill"
"鍛える"	"forge"
"鍛える"	"temper"
"鍛える"	"train"
"鍛え上げる"	"temper" "thoroughly"
"鍛え上げる"	"train" "well"
"鍬"	"hoe"
"鍵"	"Ken"
"鍵"	"key"
"鍵"	"lock"
"鍵" "管理"	"key" "management"
"鍵盤"	"keyboard"
"鍵盤" "楽器"	"keyboard" "instrument"
"鎖"	"chain"
"鎖"	"lock"
"鎖"	"pill"
"鎖"	"tablet"
"鎖国"	"national" "isolation"
"鎖国" "主義"	"isolation" "policy"
"鎖国" "政策"	"isolation" "policy"
"鎧"	"armor"
"鎧"	"armour"
"鎧" "球"	"american" "football"
"鎧" "鼠"	"armadillo"
"鎮まる"	"abate"
"鎮まる"	"calm" "down"
"鎮まる"	"die" "down"
"鎮まる"	"subside"
"鎮める"	"calm"
"鎮める"	"suppress"
"鎮圧"	"suppression"
"鎮痛"	"killing" "pain"
"鎮痛"	"pain" "relief"
"鎮静"	"calm"
"鎮静"	"quiet"
"鎮静"	"tranquility"
"鎮静"	"tranquillity"
"鏡"	"mirror"
"鏡" "像"	"mirror" "image"
"鐘"	"bell"
"鐘"	"chime"
"鑑別"	"discrimination"
"鑑別"	"judgement"
"鑑別"	"judgment"
"鑑別"	"separation"
"鑑別" "所"	"discrimination" "office"
"鑑定"	"expert" "opinion"
"鑑定"	"judgement"
"鑑定"	"judgment"
"鑑定" "家"	"judge"
"鑑定人"	"judge"
"鑑識"	"discernment"
"鑑識"	"discrimination"
"鑑識"	"judgement"
"鑑識"	"judgment"
"鑑識" "家"	"judge"
"鑑賞"	"aesthetic" "sense"
"鑑賞"	"appreciation"
"鑓"	"lance"
"鑓"	"spear"
"長"	"chief"
"長"	"head"
"長"	"office"
"長"	"official"
"長" "いす"	"bench"
"長" "いす"	"couch"
"長" "の"	"eternal"
"長" "の"	"long"
"長" "四角"	"rectangle"
"長" "尺"	"lengthy"
"長" "尺"	"long"
"長" "弧"	"long" "arc"
"長" "押し"	"long" "press"
"長" "方向"	"longitudinal" "direction"
"長" "机"	"long" "desk"
"長" "机"	"long" "table"
"長" "槍"	"long" "spear"
"長" "槍"	"pike"
"長" "母音"	"long" "vowel"
"長" "軸"	"major" "axis"
"長" "辺"	"long" "boundary"
"長" "過ぎる"	"too" "long"
"長々"	"long"
"長々"	"very" "long"
"長い"	"lengthy"
"長い"	"long"
"長い" "間"	"long" "interval"
"長さ"	"length"
"長たらしい"	"lengthy"
"長たらしい"	"tedious"
"長め"	"moderately" "long"
"長らく"	"long"
"長らく"	"long" "time"
"長丁場"	"long" "distance"
"長刀"	"long" "sword"
"長剣"	"long" "sword"
"長命"	"long" "life"
"長大"	"great" "length"
"長大"	"very" "long"
"長官"	"chief"
"長官"	"director"
"長官"	"secretary"
"長寿" "命"	"long" "life"
"長居"	"long" "visit"
"長年"	"long" "time"
"長広舌"	"long" "talk"
"長引く"	"drag" "on"
"長引く"	"prolonged"
"長患い"	"long" "illness"
"長所"	"advantage"
"長所"	"merit"
"長所"	"strong" "point"
"長所"	"virtue"
"長打"	"long" "hit"
"長方形"	"oblong"
"長方形"	"rectangle"
"長旅"	"long" "trip"
"長期" "的"	"long term"
"長期" "的"	"long" "term"
"長椅子"	"bench"
"長椅子"	"couch"
"長江"	"Changjiang" "River"
"長煩い"	"protracted" "illness"
"長生き"	"long" "life"
"長目"	"moderately" "long"
"長短"	"length"
"長続き"	"continuation"
"長続き"	"continue"
"長編"	"long"
"長老"	"senior"
"長考"	"lengthy" "consideration"
"長蛇"	"long" "line"
"長蛇"	"long" "snake"
"長話"	"long" "talk"
"長足"	"rapid" "progress"
"長距離"	"long" "distance"
"長距離"	"long" "haul"
"長距離" "電話"	"trunk" "call"
"長距離" "飛行"	"long" "flight"
"長身"	"tall" "figure"
"長針"	"long" "hand"
"長髪"	"long" "hair"
"門"	"Mon"
"門"	"division"
"門"	"door"
"門"	"entrance"
"門"	"gate"
"門" "脈"	"portal" "vein"
"門出"	"departure"
"門出"	"setting" "out"
"門出" "茸"	"departure" "mushroom"
"門弟"	"disciple"
"門弟"	"follower"
"門弟"	"pupil"
"門徒"	"believer"
"門徒"	"follower"
"門戸"	"door"
"門柱"	"pier"
"門歯"	"incisor"
